Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for UK
Areal series, starting in 1919
Last updated 01-Aug-2022 10:58
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
2000   57.9   81.4  104.0  134.5  209.4  155.6  153.8  171.5  108.6   86.9   54.4   40.2   187.6   447.9   480.9   250.0  1358.2
2001   66.5   83.0   99.8  134.4  219.9  168.1  160.1  159.3  107.7   88.4   55.4   64.0   189.7   454.1   487.5   251.6  1406.7
2002   36.9   67.7  109.5  170.9  171.9  149.2  139.5  147.5  137.9   86.0   49.0   31.1   168.7   452.2   436.2   273.0  1297.2
2003   60.0   93.4  157.7  181.6  170.6  191.0  158.8  197.7  146.2  120.0   64.1   45.3   184.5   509.9   547.5   330.3  1586.3
2004   42.0   86.8  109.2  124.0  196.2  168.6  152.6  161.9  141.1   82.5   45.1   45.6   174.0   429.4   483.1   268.7  1355.5
2005   47.2   69.0   81.6  146.2  202.4  166.1  161.9  182.1  130.7   71.4   77.4   46.0   161.8   430.2   510.0   279.5  1381.9
2006   45.4   67.1   88.0  161.9  176.0  206.7  249.7  135.5  138.0   84.8   77.1   42.2   158.5   425.9   591.9   299.8  1472.3
2007   50.9   67.3  141.8  203.3  174.2  140.6  160.0  169.5  128.2   99.6   56.7   44.1   160.3   519.2   470.1   284.5  1436.1
2008   38.1  101.3  114.7  153.9  200.3  178.7  165.9  103.8  101.9  108.8   53.4   54.4   183.5   468.9   448.4   264.1  1375.2
2009   52.7   53.2  139.2  161.4  212.5  203.0  168.8  154.3  128.0   83.1   59.3   50.1   160.3   513.0   526.1   270.5  1465.7
2010   53.3   61.7  115.8  181.4  199.2  208.7  138.4  146.1  125.1  104.6   64.0   46.4   165.0   496.3   493.2   293.7  1444.5
2011   49.7   51.1  120.9  202.3  190.5  174.5  169.4  126.2  126.4   90.1   58.5   38.6   147.2   513.6   470.0   275.0  1398.0
2012   58.2   62.6  149.8  126.7  198.4  113.8  136.5  150.5  138.4   90.1   61.3   45.7   159.4   474.8   400.8   289.8  1332.1
2013   36.1   74.8   80.7  166.3  176.2  169.4  247.4  157.6  113.6   77.1   70.1   41.6   156.7   423.2   574.4   260.7  1410.9
2014   42.7   74.8  126.0  144.1  148.8  176.6  221.9  169.5  122.1   82.0   51.1   56.7   159.2   419.0   568.0   255.2  1416.5
2015   58.4   75.6  121.0  211.8  173.8  188.7  160.8  148.1  151.9   90.4   35.5   29.1   190.7   506.6   497.6   277.7  1445.0
2016   37.3   84.5  116.5  160.4  208.1  134.7  156.6  180.8  119.4  104.5   74.3   40.4   150.8   485.1   472.1   298.1  1417.4
2017   54.7   54.7  119.0  158.3  207.6  155.5  168.2  155.1  108.4   72.4   70.8   44.6   149.8   484.9   478.8   251.6  1369.3
2018   49.1   98.0   83.6  131.4  240.6  234.4  234.0  147.1  132.4  111.4   61.8   36.2   191.7   455.6   615.5   305.7  1560.1
2019   50.8   99.1  115.2  168.7  186.9  159.7  173.3  175.1  142.9   88.4   48.1   46.0   186.1   470.9   508.1   279.5  1454.4
2020   45.1   73.4  136.1  223.0  266.9  162.0  144.5  145.4  145.0   66.9   53.2   37.5   164.6   626.0   451.9   265.0  1498.9
2021   44.2   71.6  102.4  223.4  161.5  181.8  190.2  127.0  119.2   80.2   58.7   27.5   153.3   487.3   499.1   258.2  1387.8
2022   62.7   73.6  166.1  166.1  152.8  195.8  179.4                                      163.7   485.0                        
